Obs_Num,Rayyan ID,Study_Author,Study_Num,Test,Test_Num,TargetBoundaryGrade,Threshold,Threshold_Num,Denom_sens_n,Denom_spe,Sens,Spe,TP,FN,FP,TN,NMA
117,872439053,Kim 2020,22,MRE,2,F2,3.13,2,20,27,0.97,1,19,1,0,27,1
118,872439053,Kim 2020,22,MRE,2,F3,4.34,3,8,39,1,0.923,8,0,3,36,1
119,872439074,Mahadeva 2013,24,TE,1,F2,6.65,2,71,49,0.676,0.568,48,23,21,28,1
120,872439074,Mahadeva 2013,24,TE,1,F2,6.75,2,71,49,0.662,0.596,47,24,20,29,1
121,872439074,Mahadeva 2013,24,TE,1,F2,6.85,2,71,49,0.588,0.692,42,29,15,34,1
122,872439074,Mahadeva 2013,24,TE,1,F3,6.95,2,27,93,0.704,0.645,19,8,33,60,1
123,872439074,Mahadeva 2013,24,TE,1,F3,7.1,3,27,93,0.704,0.666,19,8,31,62,1
124,872439074,Mahadeva 2013,24,TE,1,F3,7.25,3,27,93,0.667,0.677,18,9,30,63,1
125,872439074,Mahadeva 2013,24,TE,1,F4,10.6,6,8,112,0.875,0.884,7,1,13,99,0
126,872439074,Mahadeva 2013,24,TE,1,F4,11.3,6,8,112,0.875,0.893,7,1,12,100,0
127,872439074,Mahadeva 2013,24,TE,1,F4,11.95,6,8,112,0.75,0.912,6,2,10,102,0
